Entity,Code,Year,Child mortality rate
Afghanistan,AFG,1957,37.13
Afghanistan,AFG,1958,36.52
Afghanistan,AFG,1959,35.95
Afghanistan,AFG,1960,35.32
Afghanistan,AFG,1961,34.76
Afghanistan,AFG,1962,34.23
Afghanistan,AFG,1963,33.68
Afghanistan,AFG,1964,33.17
Afghanistan,AFG,1965,32.65
Afghanistan,AFG,1966,32.15
Afghanistan,AFG,1967,31.66
Afghanistan,AFG,1968,31.16
Afghanistan,AFG,1969,30.64
Afghanistan,AFG,1970,30.16
Afghanistan,AFG,1971,29.65
Afghanistan,AFG,1972,29.14
Afghanistan,AFG,1973,28.59
Afghanistan,AFG,1974,28.06
Afghanistan,AFG,1975,27.52
Afghanistan,AFG,1976,26.97
Afghanistan,AFG,1977,26.38
Afghanistan,AFG,1978,25.79
Afghanistan,AFG,1979,25.19
Afghanistan,AFG,1980,24.57
Afghanistan,AFG,1981,23.94
Afghanistan,AFG,1982,27.99
Afghanistan,AFG,1983,27.44
Afghanistan,AFG,1984,30.91
Afghanistan,AFG,1985,30.09
Afghanistan,AFG,1986,25.31
Afghanistan,AFG,1987,24.72
Afghanistan,AFG,1988,21.84
Afghanistan,AFG,1989,18.71
Afghanistan,AFG,1990,18.07
Afghanistan,AFG,1991,17.44
Afghanistan,AFG,1992,16.85
Afghanistan,AFG,1993,16.3
Afghanistan,AFG,1994,15.77
Afghanistan,AFG,1995,15.28
Afghanistan,AFG,1996,14.83
Afghanistan,AFG,1997,14.41
Afghanistan,AFG,1998,13.99
Afghanistan,AFG,1999,13.58
Afghanistan,AFG,2000,13.17
Afghanistan,AFG,2001,12.74
Afghanistan,AFG,2002,12.31
Afghanistan,AFG,2003,11.87
Afghanistan,AFG,2004,11.42
Afghanistan,AFG,2005,10.97
Afghanistan,AFG,2006,10.51
Afghanistan,AFG,2007,10.07
Afghanistan,AFG,2008,9.63
Afghanistan,AFG,2009,9.22
Afghanistan,AFG,2010,8.83
Afghanistan,AFG,2011,8.46
Afghanistan,AFG,2012,8.12
Afghanistan,AFG,2013,7.8
Afghanistan,AFG,2014,7.51
Afghanistan,AFG,2015,7.24
Afghanistan,AFG,2016,7
Afghanistan,AFG,2017,6.76
Afghanistan,AFG,2018,6.54
Afghanistan,AFG,2019,6.33
Afghanistan,AFG,2020,6.13
Afghanistan,AFG,2021,5.93
Afghanistan,AFG,2022,5.74
Afghanistan,AFG,2023,5.55
Africa,,1966,25.95
Africa,,1967,25.34
Africa,,1968,24.73
Africa,,1969,24.39
Africa,,1970,24
Africa,,1971,23.61
Africa,,1972,23.27
Africa,,1973,22.76
Africa,,1974,22.02
Africa,,1975,21.51
Africa,,1976,20.7
Africa,,1977,20.19
Africa,,1978,19.68
Africa,,1979,19.18
Africa,,1980,18.78
Africa,,1981,18.3
Africa,,1982,17.89
Africa,,1983,18.27
